ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; Highest Grade Offered [Public School] (All Years: 2015-16): 12th Grade; Lowest Grade Offered [Public School] (All Years: 2015-16): 9th Grade

School Name,State Name [Public School] Latest available year,Web Site URL [Public School] 2015-16,State Abbr [Public School] Latest available year,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,Urban-centric Locale [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Lowest Grade Offered [Public School] 2015-16,Highest Grade Offered [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16
ST. JOHNS HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,12-City: Mid-size,309,9th Grade,12th Grade,309,="0",1,65,197,42,="0",4,9.36,33.00
ST. JOHNS LEARNING CENTER,Arizona,†,AZ ,1-Regular school,2-No,–,33-Town: Remote,16,9th Grade,12th Grade,16,1,="0",4,="0",11,="0",="0",16.00,1.00
ST. JOSEPH HIGH SCHOOL,Michigan,www.sjschools.org,MI ,1-Regular school,2-No,2-No,23-Suburb: Small,987,9th Grade,12th Grade,987,7,48,28,74,815,="0",15,21.16,46.64
ST. LOUIS HIGH SCHOOL,Michigan,www.edzone.net/~stlouis,MI ,1-Regular school,2-No,2-No,32-Town: Distant,351,9th Grade,12th Grade,351,2,3,27,4,314,="0",1,19.50,18.00
ST. LOUIS PARK SENIOR HIGH,Minnesota,†,MN ,1-Regular school,2-No,2-No,21-Suburb: Large,1426,9th Grade,12th Grade,1426,7,63,144,319,810,7,76,19.91,71.64
ST. LUCIE WEST CENTENNIAL HIGH,Florida,http://www.stlucie.k12.fl.us/SWC/,FL ,1-Regular school,2-No,2-No,12-City: Mid-size,2527,9th Grade,12th Grade,2527,6,42,710,587,1092,6,84,19.59,129.00
ST. MARYS HIGH SCHOOL,West Virginia,†,WV ,1-Regular school,†,†,41-Rural: Fringe,391,9th Grade,12th Grade,391,="0",3,6,2,375,="0",5,17.00,23.00
ST. MICHAEL-ALBERTVILLE SENIOR HIGH,Minnesota,stma.k12.mn.us,MN ,1-Regular school,2-No,2-No,41-Rural: Fringe,1782,9th Grade,12th Grade,1782,1,33,46,46,1606,2,48,21.84,81.60
ST. PAUL HIGH SCHOOL,Kansas,†,KS ,1-Regular school,2-No,2-No,43-Rural: Remote,82,9th Grade,12th Grade,82,1,="0",2,1,77,="0",1,9.82,8.35
ST. PETER SENIOR HIGH,Minnesota,http://www.stpeterschools.org,MN ,1-Regular school,2-No,2-No,31-Town: Fringe,550,9th Grade,12th Grade,550,="0",11,48,44,443,="0",4,16.93,32.48
ST. PETERSBURG COLLEGIATE HIGH SCHOOL,Florida,http://www.spcollege.edu/spchs,FL ,1-Regular school,1-Yes,2-No,11-City: Large,241,9th Grade,12th Grade,241,="0",26,20,23,159,="0",13,48.20,5.00
ST. PETERSBURG HIGH SCHOOL,Florida,http://www.stpetehigh.com,FL ,1-Regular school,2-No,1-Yes,11-City: Large,2059,9th Grade,12th Grade,2059,7,214,227,351,1182,3,75,19.99,103.00
ST. VRAIN GLOBAL ONLINE ACADEMY,Colorado,http://svoga.svvsd.org,CO ,1-Regular school,2-No,2-No,23-Suburb: Small,105,9th Grade,12th Grade,105,="0",4,29,="0",70,="0",2,5.20,20.20
STADIUM,Washington,†,WA ,1-Regular school,2-No,–,12-City: Mid-size,1558,9th Grade,12th Grade,1558,29,167,167,215,894,24,62,22.30,69.88
STAFFORD H S,Texas,www.staffordmsd.org,TX ,1-Regular school,2-No,2-No,21-Suburb: Large,983,9th Grade,12th Grade,983,3,68,440,420,35,="0",17,14.18,69.33
STAFFORD HIGH SCHOOL,Connecticut,www.stafford.ctschool.net/shs/frames2.html,CT ,1-Regular school,2-No,2-No,31-Town: Fringe,409,9th Grade,12th Grade,409,="0",4,21,2,377,1,4,10.28,39.77
STAFFORD SR. HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1950,9th Grade,12th Grade,1950,6,48,189,310,1251,2,144,15.96,122.19
STAFFORD TECHNICAL CENTER,Vermont,http://www.staffordonline.org/,VT ,3-Vocational school,†,2-No,32-Town: Distant,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
STAGG SENIOR HIGH,California,†,CA ,1-Regular school,2-No,1-Yes,11-City: Large,1466,9th Grade,12th Grade,1466,73,149,758,250,198,13,25,26.41,55.51
STALEY HIGH,Missouri,http://www.nkcschools.org/sths/,MO ,1-Regular school,2-No,2-No,41-Rural: Fringe,1525,9th Grade,12th Grade,1525,8,32,141,112,1152,5,75,17.98,84.84
STAMFORD ACADEMY,Connecticut,†,CT ,1-Regular school,1-Yes,2-No,12-City: Mid-size,150,9th Grade,12th Grade,150,="0",="0",58,81,10,="0",1,12.50,12.00
STAMFORD H S,Texas,†,TX ,1-Regular school,2-No,2-No,32-Town: Distant,169,9th Grade,12th Grade,169,="0",1,73,17,70,="0",8,7.96,21.24
STAMFORD HIGH SCHOOL,Connecticut,www.stamfordhigh.org/,CT ,1-Regular school,2-No,2-No,12-City: Mid-size,1719,9th Grade,12th Grade,1719,="0",70,628,455,552,="0",14,13.36,128.70
STANDISH-STERLING CENTRAL HIGH SCHOOL,Michigan,www.standish-sterling.org,MI ,1-Regular school,2-No,2-No,42-Rural: Distant,481,9th Grade,12th Grade,481,10,3,3,4,455,="0",6,23.38,20.57
STANDLEY LAKE HIGH SCHOOL,Colorado,†,CO ,1-Regular school,2-No,2-No,21-Suburb: Large,1317,9th Grade,12th Grade,1317,7,80,252,22,906,="0",50,19.86,66.31
STANFORD HIGH SCHOOL,Montana,†,MT ,1-Regular school,†,2-No,43-Rural: Remote,22,9th Grade,12th Grade,22,="0",="0",="0",="0",22,="0",="0",6.96,3.16
STANHOPE ELMORE HIGH SCH,Alabama,www.elmoreco.com,AL ,1-Regular school,2-No,2-No,21-Suburb: Large,1106,9th Grade,12th Grade,1106,5,16,50,455,560,="0",20,19.93,55.50
STANISLAUS ALTERNATIVE CHARTER,California,www.stancoe.org,CA ,1-Regular school,1-Yes,2-No,12-City: Mid-size,380,9th Grade,12th Grade,380,3,19,233,26,80,1,18,21.11,18.00
STANLEY CORRECTIONAL INSTITUTION,Wisconsin,doc.wi.gov/families-visitors/find-facility/stanley-correctional-institution,WI ,4-Alternative/other school,2-No,2-No,32-Town: Distant,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",–,–
STANLEY COUNTY HIGH SCHOOL - 01,South Dakota,†,SD ,1-Regular school,2-No,†,33-Town: Remote,130,9th Grade,12th Grade,130,20,="0",3,="0",102,="0",5,10.57,12.30
STANLEY HIGH SCHOOL,North Dakota,http://www.stanley.k12.nd.us/,ND ,1-Regular school,†,†,43-Rural: Remote,192,9th Grade,12th Grade,192,8,="0",19,2,160,="0",3,11.23,17.10
STANLEY-BOYD HIGH,Wisconsin,www.stanleyboyd.k12.wi.us,WI ,1-Regular school,2-No,2-No,32-Town: Distant,314,9th Grade,12th Grade,314,2,="0",2,6,303,="0",1,14.38,21.83
STANLY ACADEMY LEARNING CENTER,North Carolina,academyscs.sharpschool.com/,NC ,4-Alternative/other school,2-No,2-No,32-Town: Distant,38,9th Grade,12th Grade,38,="0",1,3,10,22,="0",2,5.02,7.57
STANSBURY HIGH,Utah,http://www.stansburyhigh.org/,UT ,1-Regular school,2-No,2-No,32-Town: Distant,1605,9th Grade,12th Grade,1605,6,12,171,21,1363,19,13,–,–
STANTON ACADEMY,Washington,†,WA ,4-Alternative/other school,2-No,–,13-City: Small,324,9th Grade,12th Grade,324,10,="0",244,4,56,="0",10,18.09,17.91
STANTON COLLEGE PREPARATORY,Florida,http://www.stantoncollegeprep.org/,FL ,1-Regular school,2-No,1-Yes,11-City: Large,1508,9th Grade,12th Grade,1508,10,388,108,227,713,4,58,18.85,80.00
STANTON H S,Texas,www.stanton.esc18.net,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,255,9th Grade,12th Grade,255,="0",="0",159,3,85,="0",8,11.19,22.78
STANWOOD HIGH SCHOOL,Washington,†,WA ,1-Regular school,2-No,–,31-Town: Fringe,1404,9th Grade,12th Grade,1404,14,11,107,14,1198,4,56,22.64,62.02
STAPLES HIGH SCHOOL,Connecticut,shs.westport.k12.ct.us/staplesLMC/,CT ,1-Regular school,2-No,2-No,21-Suburb: Large,1885,9th Grade,12th Grade,1885,1,116,86,40,1630,="0",12,12.51,150.67
STAR CITY HIGH SCHOOL,Arkansas,www.starcityschools.com,AR ,1-Regular school,2-No,2-No,42-Rural: Distant,482,9th Grade,12th Grade,482,2,2,32,105,335,="0",6,13.86,34.78
STAR EVERGREEN HIGH SCH,South Dakota,†,SD ,4-Alternative/other school,2-No,†,43-Rural: Remote,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",9.73
STAR FAMILY LITERACY,Michigan,www.alleganaesa.org,MI ,4-Alternative/other school,2-No,2-No,31-Town: Fringe,5,9th Grade,12th Grade,5,="0",="0",2,="0",1,="0",2,2.50,2.00
STAR SPENCER HS,Oklahoma,www.okcps.org,OK ,1-Regular school,2-No,†,21-Suburb: Large,358,9th Grade,12th Grade,358,3,1,21,287,38,="0",8,10.64,33.66
STAR VALLEY HIGH SCHOOL,Wyoming,http://www.svhs.lcsd2.org,WY ,1-Regular school,2-No,2-No,43-Rural: Remote,728,9th Grade,12th Grade,728,2,5,33,7,668,4,9,14.94,48.74
STARK COUNTY HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,42-Rural: Distant,271,9th Grade,12th Grade,271,2,4,8,="0",251,="0",6,12.46,21.75
STARKVILLE HIGH SCHOOL,MISSISSIPPI,†,MS ,1-Regular school,2-No,2-No,33-Town: Remote,1448,9th Grade,12th Grade,1448,="0",31,15,1009,393,="0",="0",17.97,80.60
STARKWEATHER ACADEMY @ FIEGEL,Michigan,www.pccs.k12.mi.us,MI ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,205,9th Grade,12th Grade,205,="0",4,6,58,131,1,5,15.15,13.53
STARMONT HIGH SCHOOL,Iowa,www.starmont.k12.ia.us,IA ,1-Regular school,2-No,†,43-Rural: Remote,166,9th Grade,12th Grade,166,="0",="0",2,2,161,="0",1,12.58,13.20
STARPOINT HIGH SCHOOL,New York,www.starpointcsd.org,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,817,9th Grade,12th Grade,817,3,5,9,16,775,–,9,13.84,59.03
STARR ACADEMY,Texas,www.boysranchisd.org,TX ,4-Alternative/other school,2-No,2-No,43-Rural: Remote,13,9th Grade,12th Grade,13,1,="0",4,1,7,="0",="0",2.11,6.17
STARRS MILL HIGH SCHOOL,Georgia,http://www.starrsmillhighschool.org,GA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1393,9th Grade,12th Grade,1393,4,59,87,117,1076,2,48,16.29,85.50
STARS ACADEMY,New Jersey,†,NJ ,2-Special education school,2-No,†,21-Suburb: Large,84,9th Grade,12th Grade,84,="0",3,45,34,2,="0",="0",7.00,12.00
STARS ACCELERATED H S,Texas,www.granburyisd.org,TX ,4-Alternative/other school,2-No,2-No,41-Rural: Fringe,34,9th Grade,12th Grade,34,="0",="0",4,="0",29,="0",1,8.10,4.20
STATE FAIR,Missouri,†,MO ,3-Vocational school,2-No,2-No,33-Town: Remote,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",9.00
STATE STREET HIGH SCHOOL,Washington,www.swsd.k12.wa.us,WA ,4-Alternative/other school,2-No,–,23-Suburb: Small,196,9th Grade,12th Grade,196,10,="0",24,4,148,1,9,26.13,7.50
STATEN ISLAND TECHNICAL HIGH SCHOOL,New York,www.siths.org,NY ,3-Vocational school,2-No,–,11-City: Large,1278,9th Grade,12th Grade,1278,2,543,55,19,656,–,3,21.66,59.01
STATESBORO HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,32-Town: Distant,1579,9th Grade,12th Grade,1579,2,37,88,778,632,1,41,20.83,75.80
STATESVILLE HIGH,North Carolina,www.iss.k12.nc.us/schools/shs,NC ,1-Regular school,2-No,2-No,21-Suburb: Large,989,9th Grade,12th Grade,989,1,32,191,433,300,="0",32,16.00,61.81
STATION CAMP HIGH SCHOOL,Tennessee,†,TN ,1-Regular school,2-No,2-No,21-Suburb: Large,1665,9th Grade,12th Grade,1665,5,36,120,191,1304,4,5,18.50,90.00
STAUNTON HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,32-Town: Distant,351,9th Grade,12th Grade,351,1,1,="0",1,337,1,10,15.26,23.00
STAUNTON RIVER HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,42-Rural: Distant,1031,9th Grade,12th Grade,1031,6,3,27,47,924,="0",24,13.68,75.34
STAYTON HIGH SCHOOL,Oregon,staytonhigh.nsantiam.orvsd.org/,OR ,1-Regular school,2-No,†,31-Town: Fringe,703,9th Grade,12th Grade,703,6,3,120,6,545,3,20,19.26,36.50
STE. GENEVIEVE SR. HIGH,Missouri,www.sgdragons.org,MO ,1-Regular school,2-No,2-No,32-Town: Distant,638,9th Grade,12th Grade,638,2,2,14,7,602,="0",11,13.96,45.70
STEAMBOAT SPRINGS HIGH SCHOOL,Colorado,www.steamboatschools.net,CO ,1-Regular school,2-No,2-No,33-Town: Remote,715,9th Grade,12th Grade,715,2,10,67,5,619,4,8,16.58,43.13
STEBBINS HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,21-Suburb: Large,1191,9th Grade,12th Grade,1191,6,25,45,118,937,1,59,18.82,63.29
STEDY- ANTELOPE HS SATELLITE,ARIZONA,†,AZ ,3-Vocational school,2-No,–,42-Rural: Distant,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,–
STEDY- CIBOLA HIGH SCHOOL SATELLITE,ARIZONA,†,AZ ,3-Vocational school,2-No,–,13-City: Small,20,9th Grade,12th Grade,20,="0",="0",17,1,2,="0",="0",–,–
STEDY- GILA RIDGE HS SATELLITE,ARIZONA,†,AZ ,3-Vocational school,2-No,–,41-Rural: Fringe,12,9th Grade,12th Grade,12,="0",="0",8,="0",4,="0",="0",–,–
STEDY- KOFA HS SATELLITE,ARIZONA,†,AZ ,3-Vocational school,2-No,–,13-City: Small,17,9th Grade,12th Grade,17,2,="0",10,2,3,="0",="0",–,–
STEDY- SAN LUIS HS SATELLITE,ARIZONA,†,AZ ,3-Vocational school,2-No,–,41-Rural: Fringe,20,9th Grade,12th Grade,20,1,="0",19,="0",="0",="0",="0",–,–
STEDY- VISTA HS SATELLITE,ARIZONA,†,AZ ,3-Vocational school,2-No,–,13-City: Small,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,–
STEEL CENTER FOR CAREER AND TECHNICAL ED,Pennsylvania,http://www.steelcentertech.com,PA ,3-Vocational school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",23.00
STEEL VALLEY SHS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,486,9th Grade,12th Grade,486,1,6,3,165,281,="0",30,12.06,40.30
STEELE CANYON HIGH,California,www.schscougars.org/,CA ,1-Regular school,1-Yes,2-No,21-Suburb: Large,2165,9th Grade,12th Grade,2165,30,58,796,133,950,7,191,29.19,74.16
STEELEVILLE HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,32-Town: Distant,157,9th Grade,12th Grade,157,="0",="0",2,="0",152,="0",3,12.46,12.60
STEELVILLE HIGH,Missouri,http://steelville.k12.mo.us,MO ,1-Regular school,2-No,2-No,42-Rural: Distant,258,9th Grade,12th Grade,258,1,="0",2,="0",253,="0",2,13.31,19.39
STEILACOOM HIGH,Washington,†,WA ,1-Regular school,2-No,–,21-Suburb: Large,921,9th Grade,12th Grade,921,2,84,139,74,463,22,137,21.12,43.60
STEINBRENNER HIGH SCHOOL,Florida,http://www.sdhc.k12.fl.us/,FL ,1-Regular school,2-No,2-No,21-Suburb: Large,2355,9th Grade,12th Grade,2355,9,57,555,149,1485,1,99,19.96,118.00
STEINMETZ COLLEGE PREP HS,Illinois,†,IL ,1-Regular school,2-No,2-No,11-City: Large,1513,9th Grade,12th Grade,1513,12,33,1108,211,136,1,12,16.78,90.19
STELLAR LEADERSHIP ACADEMY,Florida,www.lifeskillscenters.com,FL ,4-Alternative/other school,1-Yes,2-No,21-Suburb: Large,229,9th Grade,12th Grade,229,="0",="0",33,196,="0",="0",="0",114.50,2.00
STELLAR SECONDARY CHARTER HIGH,California,http://stellar.reddingschools.net/,CA ,1-Regular school,1-Yes,2-No,13-City: Small,76,9th Grade,12th Grade,76,="0",1,7,="0",63,="0",5,18.77,4.05
STEM ACADEMY AT BERNSTEIN HIGH,California,http://stemah.org,CA ,1-Regular school,2-No,2-No,11-City: Large,584,9th Grade,12th Grade,584,="0",71,472,7,25,3,6,20.49,28.50
STEM EARLY COLLEGE @ NC A&T SU,North Carolina,stemec.gcsnc.com/pages/STEM_Early_College_at_N_C__A_T,NC ,1-Regular school,2-No,1-Yes,11-City: Large,190,9th Grade,12th Grade,190,="0",32,10,94,46,="0",8,21.30,8.92
STEM PREP HIGH SCHOOL,TENNESSEE,www.stempr,TN ,1-Regular school,1-Yes,2-No,11-City: Large,134,9th Grade,12th Grade,134,="0",1,80,17,36,="0",="0",22.33,6.00
STEMM ACADEMY,Michigan,www.ycschools.us,MI ,1-Regular school,2-No,2-No,21-Suburb: Large,162,9th Grade,12th Grade,162,="0",2,18,89,50,="0",3,27.00,6.00
STENNIS VOC TECH COMPLEX,Mississippi,†,MS ,3-Vocational school,2-No,2-No,43-Rural: Remote,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,3.52
STEP AHEAD HIGH SCHOOL,Minnesota,http://stepaheadhs.com,MN ,1-Regular school,2-No,2-No,21-Suburb: Large,45,9th Grade,12th Grade,45,2,2,1,1,38,="0",1,18.75,2.40
STEP UP TO COLLEGE OPEN DOORS HIGH SCHOOL,WASHINGTON,†,WA ,4-Alternative/other school,2-No,–,32-Town: Distant,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",–,–
STEPHEN DECATUR HIGH,Maryland,†,MD ,1-Regular school,2-No,2-No,32-Town: Distant,1346,9th Grade,12th Grade,1346,5,27,71,147,1054,2,40,15.74,85.50
STEPHEN F AUSTIN H S,Texas,www.fortbend.k12.tx.us/campuses/ahs/default.cfm,TX ,1-Regular school,2-No,2-No,21-Suburb: Large,2259,9th Grade,12th Grade,2259,4,887,343,406,550,1,68,18.26,123.69
STEPHENS COUNTY HIGH SCHOOL,Georgia,http://schs.stephens.k12.ga.us,GA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1158,9th Grade,12th Grade,1158,1,7,45,156,884,2,63,16.88,68.60
STEPHENSON HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,1616,9th Grade,12th Grade,1616,3,4,43,1541,6,1,18,18.30,88.30
STEPHENSON HIGH SCHOOL,Michigan,†,MI ,1-Regular school,2-No,2-No,43-Rural: Remote,183,9th Grade,12th Grade,183,2,2,8,1,170,="0",="0",18.30,10.00
STEPHENVILLE H S,Texas,†,TX ,1-Regular school,2-No,2-No,33-Town: Remote,1040,9th Grade,12th Grade,1040,6,8,299,14,700,1,12,14.19,73.29
STEPTOE VALLEY HIGH SCHOOL,Nevada,www.whitepine.k12.nv.us,NV ,4-Alternative/other school,2-No,2-No,33-Town: Remote,29,9th Grade,12th Grade,29,3,="0",3,="0",22,="0",1,29.00,1.00
STERLING H S,Texas,†,TX ,1-Regular school,2-No,2-No,13-City: Small,2386,9th Grade,12th Grade,2386,9,44,1232,447,619,3,32,15.31,155.81
STERLING H S,Texas,www.houstonisd.org,TX ,1-Regular school,2-No,1-Yes,11-City: Large,1138,9th Grade,12th Grade,1138,1,3,442,676,13,1,2,18.17,62.62
STERLING HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,32-Town: Distant,1065,9th Grade,12th Grade,1065,4,8,371,42,606,="0",34,20.38,52.25
STERLING HIGH SCHOOL,Colorado,†,CO ,1-Regular school,2-No,2-No,33-Town: Remote,547,9th Grade,12th Grade,547,4,6,125,2,396,="0",14,17.27,31.68
STERLING HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,929,9th Grade,12th Grade,929,3,44,81,208,583,6,4,13.27,70.00
STERLING HS,Oklahoma,www.sterling.k12.ok.us,OK ,1-Regular school,2-No,†,42-Rural: Distant,121,9th Grade,12th Grade,121,7,="0",5,="0",97,="0",12,14.12,8.57
STERLINGTON HIGH SCHOOL,Louisiana,†,LA ,1-Regular school,2-No,2-No,41-Rural: Fringe,462,9th Grade,12th Grade,462,="0",8,10,58,385,="0",1,12.41,37.23
STEUBENVILLE HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,13-City: Small,631,9th Grade,12th Grade,631,1,1,10,188,368,="0",63,17.68,35.70
STEVENS ALTERNATE HIGH SCHOOL,Connecticut,†,CT ,4-Alternative/other school,2-No,2-No,13-City: Small,110,9th Grade,12th Grade,110,="0",2,61,34,13,="0",="0",12.22,9.00
STEVENS H S,Texas,nisd.net,TX ,1-Regular school,2-No,2-No,11-City: Large,2882,9th Grade,12th Grade,2882,2,37,2240,268,257,11,67,16.58,173.80
STEVENS HIGH SCHOOL,New Hampshire,www.edline.net/pages/Stevens_High_School,NH ,1-Regular school,2-No,2-No,33-Town: Remote,528,9th Grade,12th Grade,528,4,4,9,6,485,="0",20,10.31,51.20
STEVENS HIGH SCHOOL - 42,South Dakota,†,SD ,1-Regular school,2-No,†,13-City: Small,1508,9th Grade,12th Grade,1508,89,15,59,13,1290,="0",42,19.77,76.28
STEVENSON HIGH SCHOOL,Washington,www.scsd.k12.wa.us,WA ,1-Regular school,2-No,–,42-Rural: Distant,318,9th Grade,12th Grade,318,7,2,44,3,246,1,15,23.64,13.45
STEVENSON HIGH SCHOOL,Michigan,www.livoniapublicschools.org/stevenson,MI ,1-Regular school,2-No,2-No,13-City: Small,1844,9th Grade,12th Grade,1844,6,60,69,77,1578,="0",54,23.46,78.60
STEVENSVILLE HIGH SCHOOL,Montana,†,MT ,1-Regular school,†,2-No,42-Rural: Distant,369,9th Grade,12th Grade,369,14,2,23,="0",329,="0",1,15.74,23.44
STEWARDSON-STRASBURG HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,43-Rural: Remote,114,9th Grade,12th Grade,114,="0",1,="0",="0",111,="0",2,12.23,9.32
STEWART CO HIGH SCHOOL,Tennessee,www.stewar,TN ,1-Regular school,2-No,2-No,42-Rural: Distant,651,9th Grade,12th Grade,651,2,1,17,18,610,1,2,17.27,37.70
STEWART COUNTY ADULT HIGH SCHOOL,Tennessee,†,TN ,1-Regular school,2-No,2-No,42-Rural: Distant,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,–
STEWART COUNTY HIGH SCHOOL,Georgia,www.stewart.k12.ga.us,GA ,1-Regular school,2-No,2-No,42-Rural: Distant,124,9th Grade,12th Grade,124,="0",="0",="0",123,="0",="0",1,10.08,12.30
STEWART CREEK HIGH,North Carolina,stewartcreekhs.com/,NC ,1-Regular school,1-Yes,2-No,11-City: Large,117,9th Grade,12th Grade,117,1,="0",4,107,2,="0",3,22.16,5.28
STEWARTS CREEK HIGH SCHOOL,Tennessee,http://www,TN ,1-Regular school,2-No,2-No,21-Suburb: Large,1992,9th Grade,12th Grade,1992,2,89,157,322,1403,2,17,17.79,112.00
STEWARTVILLE SENIOR HIGH,Minnesota,http://www.ssd.k12.mn.us,MN ,1-Regular school,2-No,2-No,31-Town: Fringe,553,9th Grade,12th Grade,553,2,="0",13,7,523,1,7,16.38,33.77
STIGLER HS,Oklahoma,https://www.stigler.k12.ok.us,OK ,1-Regular school,2-No,†,33-Town: Remote,392,9th Grade,12th Grade,392,101,4,11,2,222,="0",52,14.31,27.40
STILLMAN VALLEY HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,31-Town: Fringe,587,9th Grade,12th Grade,587,1,1,66,2,501,="0",16,16.99,34.55
STILWELL HS,Oklahoma,http://www.stilwellk12.org,OK ,1-Regular school,2-No,†,32-Town: Distant,660,9th Grade,12th Grade,660,459,2,66,="0",131,="0",2,15.38,42.92
STILWELL TECH CTR/CATE,Texas,†,TX ,4-Alternative/other school,2-No,2-No,13-City: Small,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
STISSING MOUNTAIN HIGH SCHOOL,New York,www.ppcsd.org,NY ,1-Regular school,2-No,2-No,42-Rural: Distant,319,9th Grade,12th Grade,319,3,2,31,7,274,–,2,11.96,26.67
STO-ROX HS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,319,9th Grade,12th Grade,319,="0",2,4,150,142,="0",21,14.22,22.43
STOCKBRIDGE ALTERNATIVE HIGH SCHOOL,Michigan,panthernet.net,MI ,4-Alternative/other school,2-No,2-No,42-Rural: Distant,24,9th Grade,12th Grade,24,="0",="0",1,="0",23,="0",="0",60.00,="0.40"
STOCKBRIDGE HIGH,Wisconsin,www.stockbridge.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,55,9th Grade,12th Grade,55,="0",="0",1,="0",54,="0",="0",10.22,5.38
STOCKBRIDGE HIGH SCHOOL,Georgia,http://www.henry.k12.ga.us/sh,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,1494,9th Grade,12th Grade,1494,1,23,168,1070,183,1,48,17.66,84.60
STOCKDALE H S,Texas,10.1.2.5/,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,236,9th Grade,12th Grade,236,="0",1,102,2,125,="0",6,8.74,26.99
STOCKDALE HIGH,California,www.kernhigh.org/stockdale,CA ,1-Regular school,2-No,2-No,11-City: Large,2110,9th Grade,12th Grade,2110,15,379,826,140,660,2,88,29.39,71.80
STOCKTON HIGH,California,www.stocktonusd.net,CA ,1-Regular school,2-No,2-No,11-City: Large,194,9th Grade,12th Grade,194,11,11,119,32,20,="0",1,55.43,3.50
STOCKTON HIGH,Missouri,www.stockton.k12.mo.us,MO ,1-Regular school,2-No,2-No,43-Rural: Remote,339,9th Grade,12th Grade,339,1,1,4,2,326,="0",5,12.90,26.28
STOCKTON HIGH,Kansas,†,KS ,1-Regular school,2-No,2-No,43-Rural: Remote,80,9th Grade,12th Grade,80,="0",="0",5,="0",75,="0",="0",6.56,12.20
STOCKTON SR HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,42-Rural: Distant,182,9th Grade,12th Grade,182,="0",="0",="0",1,174,="0",7,13.02,13.98
STOCKTON UNIFIED EARLY COLLEGE ACADEMY,California,http://seca-susd-ca.schoolloop.com,CA ,1-Regular school,1-Yes,2-No,11-City: Large,375,9th Grade,12th Grade,375,7,183,142,13,22,5,3,38.23,9.81
STONE BRIDGE HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,21-Suburb: Large,1687,9th Grade,12th Grade,1687,4,202,161,113,1115,2,90,13.18,128.03
